sex,age,studytime,failures,schoolsup,famsup,paid,activities,internet,higher,absences,G1,G2,target
F,15,2,2,no,no,yes,no,yes,yes,6,7,9,3
F,19,2,0,no,yes,no,no,yes,no,20,14,12,2
F,17,2,0,no,yes,no,yes,no,yes,0,16,17,0
F,18,2,0,no,no,yes,yes,yes,yes,8,12,10,2
M,19,2,1,no,no,no,yes,no,yes,0,15,12,2
F,16,1,2,no,yes,no,yes,yes,yes,0,4,0,3
M,18,2,1,no,yes,no,yes,yes,yes,0,10,10,3
F,18,2,1,no,no,no,yes,no,yes,0,6,5,3
M,17,1,1,no,no,no,no,yes,yes,19,11,9,2
F,16,2,0,no,yes,yes,no,yes,yes,0,9,9,2
F,15,1,0,no,no,no,yes,yes,yes,0,16,16,1
M,15,2,0,yes,yes,no,yes,yes,yes,2,9,10,3
M,18,3,0,no,no,no,no,yes,yes,9,16,15,0
M,17,1,0,no,no,no,no,yes,yes,3,14,16,0
M,19,2,3,no,no,no,no,yes,yes,8,8,7,3
M,17,1,1,no,yes,no,yes,yes,yes,2,7,9,3
F,17,2,2,no,no,yes,no,yes,yes,22,6,6,3
F,18,2,0,no,no,no,yes,yes,yes,0,8,8,3
M,15,2,0,no,yes,yes,no,yes,yes,0,16,18,0
M,17,2,0,no,yes,yes,no,yes,yes,13,12,12,2
F,19,2,1,no,no,no,yes,no,yes,0,9,9,3
M,17,2,0,no,yes,yes,yes,yes,yes,0,13,11,2
F,16,4,0,yes,yes,yes,no,yes,yes,4,7,7,3
M,16,1,0,no,yes,yes,no,yes,yes,0,12,14,1
F,15,1,0,no,no,yes,no,yes,yes,6,10,13,2
M,16,2,0,no,yes,no,yes,yes,yes,2,15,15,0
F,18,4,0,no,yes,no,no,yes,yes,7,16,15,0
F,15,2,3,no,yes,no,no,yes,yes,0,6,7,3
F,17,2,0,no,yes,no,yes,yes,yes,56,9,9,3
F,16,2,1,yes,no,no,yes,yes,yes,14,10,10,3
M,16,3,0,no,yes,no,yes,yes,yes,2,16,18,0
M,17,2,0,no,yes,yes,no,yes,yes,2,13,13,2
M,18,1,0,no,yes,yes,yes,yes,no,3,14,12,2
M,18,3,0,no,yes,yes,yes,yes,yes,8,14,13,1
F,16,2,0,no,yes,no,no,yes,yes,12,11,12,2
F,16,2,0,no,no,yes,yes,yes,yes,2,13,13,2
F,19,2,0,no,yes,yes,yes,yes,yes,0,10,9,3
M,18,2,0,no,no,no,yes,yes,yes,11,16,15,1
M,19,2,0,no,yes,no,no,yes,yes,12,11,11,2
M,16,1,1,no,no,no,yes,no,yes,0,7,0,3
M,17,1,3,no,yes,no,yes,yes,yes,16,6,5,3
F,15,3,0,yes,yes,yes,yes,yes,yes,2,10,9,3
M,18,1,1,no,yes,no,no,yes,yes,10,11,13,2
M,15,3,0,no,yes,no,yes,yes,yes,2,15,16,0
M,16,2,0,no,yes,yes,yes,yes,yes,2,14,13,2
M,18,2,1,no,yes,yes,yes,yes,yes,15,6,7,3
F,15,3,0,no,yes,yes,yes,yes,yes,2,9,11,2
F,18,3,0,no,no,no,no,yes,yes,7,13,13,1
M,15,1,0,yes,yes,no,no,yes,yes,0,8,8,2
M,16,1,0,no,yes,no,no,yes,no,0,7,6,3
F,18,2,0,yes,no,no,yes,yes,yes,4,8,9,2
F,16,2,0,no,yes,yes,yes,yes,yes,0,11,10,2
M,16,1,0,no,yes,no,yes,yes,yes,18,14,11,2
F,16,1,0,no,yes,yes,no,no,yes,6,9,9,2
F,19,3,1,no,no,no,yes,yes,yes,0,7,5,3
F,19,2,3,no,yes,no,no,no,no,2,7,8,3
F,15,2,0,no,yes,yes,no,yes,yes,2,11,13,2
F,18,2,0,no,yes,yes,no,yes,yes,21,17,18,0
F,16,2,0,no,yes,yes,yes,yes,yes,2,13,13,2
F,16,2,0,yes,yes,yes,yes,yes,yes,54,11,12,2
M,15,2,0,no,yes,yes,yes,yes,yes,0,14,15,1
M,18,2,0,no,yes,yes,no,no,yes,4,10,10,2
F,16,2,0,no,yes,yes,no,yes,yes,0,14,14,1
M,18,1,0,no,no,no,no,yes,yes,0,11,12,2
F,15,2,0,yes,no,no,yes,yes,yes,0,7,10,2
M,15,1,0,no,yes,no,no,yes,yes,8,12,12,2
M,15,2,0,no,yes,no,yes,yes,yes,0,17,16,0
M,16,1,0,no,no,no,no,yes,yes,0,13,14,1
F,15,3,0,no,yes,no,yes,yes,yes,4,13,14,1
M,16,1,0,no,no,no,yes,no,yes,2,12,12,1
M,16,1,0,no,yes,yes,yes,yes,yes,8,9,9,2
F,16,2,0,no,yes,yes,yes,yes,yes,4,10,11,3
F,17,3,0,no,yes,no,no,yes,yes,7,12,14,1
M,16,1,0,no,no,no,no,no,yes,2,17,15,1
F,15,4,0,no,yes,no,no,yes,yes,12,16,16,0
F,16,2,0,no,yes,yes,no,yes,yes,0,6,7,3
M,15,1,0,yes,no,no,no,yes,yes,0,13,13,2
F,16,2,0,no,no,no,no,yes,yes,10,11,12,2
F,17,3,0,no,yes,yes,yes,yes,yes,6,7,7,3
M,18,3,0,no,no,yes,no,yes,yes,0,13,13,2
M,16,1,0,yes,yes,yes,yes,yes,yes,14,7,7,3
M,18,1,1,no,no,yes,no,no,yes,14,6,5,3
F,15,2,0,no,yes,yes,no,yes,yes,0,8,11,2
M,16,2,0,no,no,no,no,yes,yes,0,12,12,2
F,15,2,0,no,yes,no,yes,yes,yes,2,9,10,2
M,16,2,0,yes,yes,no,no,yes,yes,6,7,10,2
F,19,2,1,yes,yes,no,yes,yes,yes,18,12,10,2
M,20,2,2,no,yes,yes,no,no,yes,11,9,9,3
M,16,2,1,no,no,yes,yes,yes,yes,12,11,10,2
M,16,2,1,no,yes,yes,no,yes,yes,4,10,12,2
M,17,2,3,no,no,no,yes,no,no,0,5,8,3
M,15,1,0,no,no,no,no,yes,yes,10,18,19,0
F,18,4,0,no,yes,yes,no,yes,yes,0,14,13,1
F,18,3,0,no,yes,yes,no,yes,yes,5,18,18,0
F,16,2,0,no,yes,no,no,yes,yes,2,15,16,0
M,16,1,0,no,no,no,no,yes,yes,6,18,18,0
F,15,2,0,yes,yes,yes,yes,yes,yes,8,8,8,3
M,18,2,1,no,no,no,no,yes,no,0,7,7,3
F,15,3,0,no,yes,no,yes,yes,yes,0,11,0,3
M,18,2,0,no,yes,yes,no,yes,yes,0,12,13,2
F,15,4,0,yes,yes,yes,no,yes,yes,8,7,8,3
F,18,3,0,no,yes,no,no,yes,yes,4,11,10,2
F,17,4,0,no,no,yes,yes,yes,yes,0,10,9,3
F,15,1,0,no,yes,no,yes,no,yes,0,8,7,3
F,17,2,0,no,no,no,yes,yes,yes,10,16,15,1
M,18,1,3,no,no,no,no,yes,no,0,6,5,3
F,17,1,1,no,yes,yes,no,yes,yes,0,7,6,3
M,15,2,0,no,yes,no,yes,yes,yes,2,19,18,0
M,15,3,0,no,yes,no,no,yes,yes,0,14,16,0
F,18,1,0,no,yes,yes,yes,yes,yes,7,6,5,3
F,15,2,1,yes,yes,no,yes,yes,yes,2,7,7,3
M,16,2,0,no,no,yes,yes,yes,yes,0,15,15,1
F,15,3,2,no,yes,yes,yes,yes,yes,8,10,10,2
M,15,2,0,no,yes,no,yes,no,yes,2,11,13,1
F,15,3,0,no,yes,no,yes,yes,yes,4,10,12,2
F,18,1,0,no,yes,yes,no,yes,yes,0,11,10,2
F,18,3,0,no,yes,yes,yes,yes,yes,0,9,10,3
F,18,2,0,no,yes,yes,no,yes,yes,0,7,9,3
F,16,3,0,no,yes,yes,no,yes,yes,0,7,7,3
F,18,4,0,no,yes,yes,yes,no,yes,1,12,12,2
M,16,2,0,no,yes,yes,no,yes,yes,18,9,7,3
F,16,4,0,no,yes,yes,yes,yes,yes,6,10,10,2
M,18,1,0,no,no,no,yes,yes,yes,5,7,6,3
F,15,2,0,yes,yes,yes,no,yes,yes,26,7,6,3
F,15,3,2,no,yes,no,no,yes,yes,0,12,0,3
F,17,2,0,no,yes,yes,no,yes,yes,4,9,10,2
M,18,3,0,no,no,no,yes,yes,yes,3,9,12,2
F,19,2,2,no,no,no,yes,no,yes,4,7,7,3
M,18,1,0,no,no,yes,yes,yes,yes,8,10,11,2
F,17,2,0,no,no,yes,no,yes,yes,2,14,15,1
M,17,2,0,no,no,yes,yes,yes,yes,4,10,9,3
F,16,3,0,no,yes,yes,yes,yes,yes,6,13,14,1
M,15,4,0,no,yes,yes,yes,yes,yes,6,10,13,2
M,17,2,0,no,no,yes,no,yes,yes,2,12,10,2
F,16,2,0,yes,no,no,yes,yes,yes,4,8,10,3
F,17,3,0,no,no,no,yes,no,yes,8,13,11,2
F,16,1,0,no,yes,no,no,yes,yes,4,14,14,1
M,16,2,0,no,no,no,no,yes,no,4,10,10,2
M,19,2,1,no,no,no,no,yes,yes,3,13,11,2
F,15,3,0,yes,yes,yes,yes,yes,yes,2,12,12,2
F,17,2,0,no,no,no,yes,yes,yes,0,8,8,3
F,16,2,0,no,no,yes,no,yes,yes,0,14,15,0
F,18,2,1,no,yes,yes,yes,yes,yes,8,14,12,2
F,15,2,0,no,yes,yes,no,yes,yes,10,7,6,3
M,16,3,0,no,no,no,yes,yes,yes,10,11,9,2
F,17,3,0,no,no,no,yes,yes,yes,10,12,10,2
M,19,1,3,no,yes,no,no,yes,no,0,5,0,3
F,18,2,1,no,no,no,no,yes,yes,12,12,12,2
F,15,2,0,yes,yes,yes,no,yes,yes,2,8,9,3
M,17,1,2,no,no,no,yes,yes,no,0,7,6,3
M,17,2,0,no,no,yes,yes,yes,yes,2,9,9,2
M,15,2,0,no,no,no,yes,yes,yes,8,9,9,3
F,17,3,0,no,yes,yes,no,yes,yes,6,13,12,2
M,16,2,1,no,no,no,no,no,yes,0,14,12,2
F,18,2,0,no,no,yes,yes,yes,yes,4,8,9,2
M,17,2,0,no,no,no,yes,yes,yes,14,12,12,2
M,16,2,0,yes,yes,no,yes,yes,yes,4,11,11,2
F,16,2,0,no,yes,yes,no,yes,yes,2,12,13,2
M,18,1,0,no,no,yes,yes,yes,yes,22,9,9,3
M,16,2,0,no,yes,yes,yes,yes,yes,16,10,12,2
F,16,1,0,no,no,no,yes,yes,yes,6,11,14,1
M,19,1,0,no,no,no,no,yes,yes,5,8,9,3
F,16,2,0,yes,yes,no,yes,no,yes,4,8,10,2
M,16,1,0,no,no,no,yes,yes,yes,0,13,14,2
M,15,2,0,no,yes,no,yes,yes,yes,0,17,16,0
F,17,3,0,no,yes,yes,yes,yes,yes,0,11,11,2
M,18,3,0,no,no,yes,yes,yes,yes,6,15,14,1
M,16,1,0,yes,yes,no,yes,yes,yes,2,11,15,1
M,17,2,0,no,no,no,yes,yes,yes,4,6,5,3
M,15,1,3,no,no,no,no,yes,yes,0,8,9,2
F,17,3,0,no,yes,yes,yes,yes,yes,0,13,15,1
F,16,2,0,no,no,yes,no,yes,yes,0,8,7,3
F,17,2,0,yes,yes,yes,no,yes,yes,6,12,12,2
F,17,2,0,no,no,no,no,no,yes,2,12,12,2
M,18,2,0,yes,yes,yes,yes,yes,yes,14,10,8,3
F,16,2,0,no,yes,no,yes,yes,yes,2,16,15,1
F,16,2,0,no,yes,no,no,no,yes,4,8,7,3
M,17,2,0,no,yes,no,yes,yes,yes,12,12,12,2
M,16,1,0,no,yes,no,yes,yes,yes,8,8,9,2
